resi_id,layanan,id_gudang,berat_paket,estimasi_hari,hari_pengiriman,metode_pembayaran
NST-2603-00032,Reguler,WH-KNO04,3.0,4,6,E-Wallet
NST-2603-00033,Reguler,WH-UPG05,11.43,3,3,E-Wallet
NST-2603-00034,Kargo,WH-UPG05,79.76,7,9,Kartu Kredit
NST-2603-00035,Sameday,WH-SUB03,2.74,1,2,Transfer Bank
NST-2603-00036,Express,WH-JKT01,1.49,2,3,E-Wallet
NST-2603-00037,Reguler,WH-BDO02,7.91,3,6,Kartu Kredit
NST-2603-00038,Reguler,WH-BDO02,3.14,3,2,Kartu Kredit
NST-2603-00039,Express,WH-SUB03,2.4,1,3,Transfer Bank
NST-2603-00040,Reguler,WH-UPG05,6.34,3,5,COD
NST-2603-00041,Reguler,WH-KNO04,4.52,4,7,Transfer Bank
NST-2603-00042,Reguler,WH-UPG05,10.52,5,4,E-Wallet
NST-2603-00043,Reguler,WH-KNO04,11.51,3,6,COD
NST-2603-00044,Kargo,WH-KNO04,28.92,7,9,Transfer Bank
NST-2603-00045,Reguler,WH-UPG05,7.35,4,4,E-Wallet
NST-2603-00046,Express,WH-BDO02,3.93,2,4,E-Wallet
NST-2603-00047,Reguler,WH-KNO04,13.19,5,4,COD
NST-2603-00048,Reguler,WH-SUB03,9.53,4,7,Transfer Bank
NST-2603-00049,Reguler,WH-SUB03,11.68,3,4,Transfer Bank
NST-2603-00050,Reguler,WH-KNO04,13.86,5,8,E-Wallet
NST-2603-00051,Sameday,WH-BDO02,1.72,1,2,Kartu Kredit
NST-2603-00052,Express,WH-KNO04,4.45,1,2,Kartu Kredit
NST-2603-00053,Kargo,WH-SUB03,24.63,6,7,COD
NST-2603-00054,Kargo,WH-SUB03,26.85,7,7,Transfer Bank
NST-2603-00055,Reguler,WH-UPG05,14.69,4,3,Kartu Kredit
NST-2603-00056,Kargo,WH-BDO02,30.27,7,8,COD
NST-2603-00057,Reguler,WH-UPG05,,4,7,E-Wallet
NST-2603-00058,Reguler,WH-JKT01,6.92,5,8,Kartu Kredit
NST-2603-00059,Reguler,WH-KNO04,11.57,3,6,Transfer Bank
NST-2603-00060,Reguler,WH-UPG05,,5,5,E-Wallet
NST-2603-00061,Reguler,WH-BDO02,7.13,4,5,Transfer Bank
NST-2603-00062,Reguler,WH-KNO04,2.69,5,7,E-Wallet
NST-2603-00063,Express,WH-KNO04,,1,1,Transfer Bank
NST-2603-00064,Reguler,WH-KNO04,4.22,5,8,COD
NST-2603-00065,Reguler,WH-KNO04,1.99,3,2,Transfer Bank
NST-2603-00066,Reguler,WH-KNO04,4.21,5,4,Transfer Bank
NST-2603-00067,Reguler,WH-BDO02,1.99,3,4,E-Wallet
NST-2603-00068,Express,WH-JKT01,3.51,1,2,Transfer Bank
NST-2603-00069,Reguler,WH-SUB03,2.85,3,6,Transfer Bank
NST-2603-00070,Sameday,WH-JKT01,1.11,1,2,Transfer Bank
NST-2603-00071,Express,WH-SUB03,1.36,2,3,E-Wallet
NST-2603-00072,Reguler,WH-UPG05,5.96,3,5,Kartu Kredit
NST-2603-00073,Reguler,WH-KNO04,13.09,4,6,Kartu Kredit
NST-2603-00074,Express,WH-UPG05,3.44,1,3,Kartu Kredit
NST-2603-00075,Express,WH-UPG05,2.31,1,1,Transfer Bank
NST-2603-00076,Express,WH-SUB03,1.62,2,2,COD
NST-2603-00077,Express,WH-BDO02,2.52,1,3,COD
NST-2603-00078,Reguler,WH-KNO04,4.9,4,4,E-Wallet
NST-2603-00079,Reguler,WH-UPG05,7.2,3,2,Kartu Kredit
NST-2603-00080,Reguler,WH-JKT01,1.71,5,4,Transfer Bank
NST-2603-00081,Kargo,WH-KNO04,97.52,7,7,E-Wallet
NST-2603-00082,Express,WH-BDO02,2.33,1,1,Transfer Bank
NST-2603-00083,Reguler,WH-KNO04,13.11,4,4,E-Wallet
NST-2603-00084,Reguler,WH-UPG05,6.31,3,3,Kartu Kredit
NST-2603-00085,Reguler,WH-JKT01,13.97,4,5,Transfer Bank
NST-2603-00086,Reguler,WH-UPG05,6.92,4,5,Kartu Kredit
NST-2603-00087,Express,WH-BDO02,1.35,2,2,Kartu Kredit
NST-2603-00088,Express,WH-SUB03,3.11,1,1,Transfer Bank
NST-2603-00089,Kargo,WH-JKT01,79.84,7,7,Kartu Kredit
NST-2603-00090,Reguler,WH-BDO02,9.18,3,2,E-Wallet
NST-2603-00091,Reguler,WH-BDO02,3.2,5,8,E-Wallet
NST-2603-00092,Express,WH-UPG05,0.81,1,1,E-Wallet
NST-2603-00093,Express,WH-UPG05,4.38,1,3,Kartu Kredit
NST-2603-00094,Reguler,WH-UPG05,14.18,4,3,Transfer Bank
NST-2603-00095,Express,WH-SUB03,3.18,1,3,Kartu Kredit
NST-2603-00096,Reguler,WH-KNO04,6.87,5,4,Kartu Kredit
NST-2603-00097,Reguler,WH-KNO04,8.32,5,8,E-Wallet
NST-2603-00098,Reguler,WH-UPG05,10.38,4,4,Transfer Bank
NST-2603-00099,Reguler,WH-UPG05,4.72,4,4,COD
NST-2603-00100,Reguler,WH-SUB03,7.4,3,4,COD
NST-2603-00101,Reguler,WH-KNO04,7.42,3,2,Transfer Bank
NST-2603-00102,Express,WH-SUB03,2.92,1,1,Transfer Bank
NST-2603-00103,Reguler,WH-BDO02,2.85,5,6,E-Wallet
NST-2603-00104,Reguler,WH-KNO04,13.31,4,3,Transfer Bank
NST-2603-00105,Kargo,WH-UPG05,32.62,6,8,Transfer Bank
NST-2603-00106,Reguler,WH-JKT01,9.56,5,6,Kartu Kredit
NST-2603-00107,Reguler,WH-BDO02,1.11,5,8,Kartu Kredit
NST-2603-00108,Express,WH-JKT01,0.97,2,4,
NST-2603-00109,Reguler,WH-SUB03,2.62,3,4,E-Wallet
NST-2603-00110,Reguler,WH-SUB03,3.18,3,6,E-Wallet
NST-2603-00111,Reguler,WH-SUB03,3.95,4,7,Transfer Bank
NST-2603-00112,Reguler,WH-UPG05,10.62,4,4,E-Wallet
NST-2603-00113,Kargo,WH-SUB03,59.08,6,10,COD
NST-2603-00114,Express,WH-JKT01,3.35,1,1,Kartu Kredit
NST-2603-00115,Express,WH-BDO02,0.52,2,2,COD
NST-2603-00116,Kargo,WH-UPG05,98.38,5,10,COD
NST-2603-00117,Express,WH-BDO02,2.49,1,3,Transfer Bank
NST-2603-00118,Reguler,WH-SUB03,8.85,5,7,Kartu Kredit
NST-2603-00119,Kargo,WH-KNO04,95.6,5,5,Transfer Bank
NST-2603-00120,Reguler,WH-UPG05,8.64,5,5,COD
NST-2603-00121,Express,WH-SUB03,2.99,2,4,COD
NST-2603-00122,Kargo,WH-UPG05,23.35,6,7,E-Wallet
NST-2603-00123,Reguler,WH-KNO04,13.58,4,3,E-Wallet
NST-2603-00124,Reguler,WH-JKT01,10.34,3,3,E-Wallet
NST-2603-00125,Reguler,WH-JKT01,13.38,4,7,E-Wallet
NST-2603-00126,Reguler,WH-JKT01,11.49,4,7,COD
NST-2603-00127,Express,WH-KNO04,4.89,1,1,E-Wallet
NST-2603-00128,Kargo,WH-BDO02,,5,8,Kartu Kredit
NST-2603-00129,Reguler,WH-KNO04,11.95,5,6,COD
NST-2603-00130,Reguler,WH-KNO04,4.74,4,4,COD
NST-2603-00131,Reguler,WH-SUB03,6.36,5,4,Kartu Kredit
NST-2603-00132,Reguler,WH-JKT01,4.11,3,5,Transfer Bank
NST-2603-00133,Reguler,WH-UPG05,5.27,4,5,E-Wallet
NST-2603-00134,Reguler,WH-BDO02,,3,3,COD
NST-2603-00135,Kargo,WH-UPG05,46.26,5,8,Kartu Kredit
NST-2603-00136,Reguler,WH-SUB03,5.92,3,4,Transfer Bank
NST-2603-00137,Reguler,WH-SUB03,10.51,5,7,Transfer Bank
NST-2603-00138,Express,WH-BDO02,1.02,2,2,Kartu Kredit
NST-2603-00139,Reguler,WH-UPG05,9.13,4,4,COD
NST-2603-00140,Sameday,WH-BDO02,0.6,1,2,COD
NST-2603-00141,Sameday,WH-BDO02,1.36,1,2,E-Wallet
NST-2603-00142,Reguler,WH-JKT01,,4,6,E-Wallet
NST-2603-00143,Reguler,WH-UPG05,6.39,5,4,Kartu Kredit
NST-2603-00144,Reguler,WH-JKT01,4.57,5,5,Kartu Kredit
NST-2603-00145,Reguler,WH-JKT01,1.02,5,7,COD
NST-2603-00146,Reguler,WH-JKT01,6.1,5,5,COD
NST-2603-00147,Express,WH-KNO04,4.64,1,3,Kartu Kredit
NST-2603-00148,Reguler,WH-SUB03,10.29,5,6,Kartu Kredit
NST-2603-00149,Reguler,WH-SUB03,8.1,3,4,Transfer Bank
NST-2603-00150,Reguler,WH-KNO04,5.57,5,7,Transfer Bank
NST-2603-00151,Kargo,WH-BDO02,64.35,7,9,Transfer Bank
NST-2603-00152,Reguler,WH-UPG05,10.31,3,5,Transfer Bank
NST-2603-00153,Reguler,WH-UPG05,9.62,4,4,Transfer Bank
NST-2603-00154,Reguler,WH-UPG05,8.67,4,6,Kartu Kredit
NST-2603-00155,Sameday,WH-JKT01,1.26,1,1,E-Wallet
NST-2603-00156,Reguler,WH-UPG05,12.0,3,5,Kartu Kredit
NST-2603-00157,Express,WH-UPG05,2.49,2,3,Transfer Bank
NST-2603-00158,Express,WH-UPG05,2.63,1,3,Kartu Kredit
NST-2603-00159,Reguler,WH-SUB03,10.22,5,5,COD
NST-2603-00160,Express,WH-KNO04,3.49,2,4,Kartu Kredit
NST-2603-00161,Reguler,WH-BDO02,2.31,5,6,Kartu Kredit
NST-2603-00162,Express,WH-KNO04,1.9,1,3,E-Wallet
NST-2603-00163,Express,WH-UPG05,0.61,1,1,Transfer Bank
NST-2603-00164,Reguler,WH-BDO02,9.56,3,5,Transfer Bank
NST-2603-00165,Reguler,WH-BDO02,6.8,3,5,Kartu Kredit
NST-2603-00166,Express,WH-KNO04,3.63,1,3,Kartu Kredit
NST-2603-00167,Reguler,WH-KNO04,4.42,4,6,Transfer Bank
NST-2603-00168,Reguler,WH-KNO04,13.5,5,4,COD
NST-2603-00169,Reguler,WH-KNO04,4.06,3,5,Transfer Bank
NST-2603-00170,Reguler,WH-JKT01,7.5,5,8,COD
NST-2603-00171,Express,WH-SUB03,2.55,1,1,Kartu Kredit
NST-2603-00172,Reguler,WH-SUB03,14.83,4,7,Kartu Kredit
NST-2603-00173,Reguler,WH-UPG05,14.3,5,6,COD
NST-2603-00174,Reguler,WH-JKT01,12.41,4,7,Transfer Bank
NST-2603-00175,Express,WH-BDO02,2.51,2,4,Kartu Kredit
NST-2603-00176,Reguler,WH-KNO04,7.3,3,5,Transfer Bank
NST-2603-00177,Express,WH-UPG05,1.75,1,3,Kartu Kredit
NST-2603-00178,Reguler,WH-BDO02,9.77,5,7,E-Wallet
NST-2603-00179,Kargo,WH-SUB03,26.2,6,9,E-Wallet
NST-2603-00180,Reguler,WH-BDO02,4.8,4,4,E-Wallet
NST-2603-00181,Reguler,WH-KNO04,2.13,4,7,COD
NST-2603-00182,Reguler,WH-KNO04,6.36,3,3,Transfer Bank
NST-2603-00183,Kargo,WH-SUB03,37.12,5,10,E-Wallet
NST-2603-00184,Kargo,WH-KNO04,46.47,6,9,COD
NST-2603-00185,Reguler,WH-JKT01,1.87,4,6,E-Wallet
NST-2603-00186,Express,WH-UPG05,4.57,2,3,Kartu Kredit
NST-2603-00187,Express,WH-SUB03,2.21,1,3,E-Wallet
NST-2603-00188,Reguler,WH-SUB03,5.18,3,4,Transfer Bank
NST-2603-00189,Reguler,WH-BDO02,8.54,4,6,Transfer Bank
NST-2603-00190,Reguler,WH-SUB03,12.2,5,8,
NST-2603-00191,Reguler,WH-UPG05,4.07,3,5,Transfer Bank
NST-2603-00192,Kargo,WH-JKT01,22.32,6,9,E-Wallet
NST-2603-00193,Kargo,WH-BDO02,74.33,6,11,Kartu Kredit
NST-2603-00194,Express,WH-UPG05,1.24,2,4,Kartu Kredit
NST-2603-00195,Reguler,WH-SUB03,14.73,4,4,COD
NST-2603-00196,Reguler,WH-KNO04,13.7,5,4,Kartu Kredit
NST-2603-00197,Express,WH-KNO04,3.39,1,1,COD
NST-2603-00198,Kargo,WH-UPG05,34.54,5,8,COD
NST-2603-00199,Kargo,WH-JKT01,46.19,6,9,COD
NST-2603-00200,Express,WH-KNO04,2.02,2,3,Transfer Bank
NST-2603-00201,Express,WH-UPG05,3.88,2,3,E-Wallet
NST-2603-00202,Reguler,WH-BDO02,,4,5,Transfer Bank
NST-2603-00203,Reguler,WH-SUB03,11.49,4,3,Kartu Kredit
NST-2603-00204,Kargo,WH-JKT01,37.94,5,7,Transfer Bank
NST-2603-00205,Express,WH-JKT01,0.68,1,3,COD
NST-2603-00206,Reguler,WH-BDO02,3.79,3,3,Transfer Bank
NST-2603-00207,Reguler,WH-JKT01,3.13,3,6,Transfer Bank
NST-2603-00208,Express,WH-UPG05,3.51,1,2,Kartu Kredit
NST-2603-00209,Reguler,WH-JKT01,7.51,5,5,E-Wallet
NST-2603-00210,Reguler,WH-JKT01,3.35,4,5,COD
NST-2603-00211,Reguler,WH-JKT01,11.89,5,4,Transfer Bank
NST-2603-00212,Express,WH-UPG05,0.99,1,2,Kartu Kredit
NST-2603-00213,Express,WH-SUB03,3.09,1,2,Kartu Kredit
NST-2603-00214,Reguler,WH-KNO04,14.18,4,6,COD
NST-2603-00215,Express,WH-JKT01,3.16,1,1,Kartu Kredit
NST-2603-00216,Reguler,WH-BDO02,2.43,5,5,E-Wallet
NST-2603-00217,Reguler,WH-BDO02,12.28,4,7,Kartu Kredit
NST-2603-00218,Express,WH-UPG05,2.9,1,2,Transfer Bank
NST-2603-00219,Express,WH-SUB03,,2,2,E-Wallet
NST-2603-00220,Express,WH-JKT01,4.32,2,2,E-Wallet
NST-2603-00221,Express,WH-UPG05,2.45,2,2,Kartu Kredit
NST-2603-00222,Reguler,WH-KNO04,10.9,4,6,COD
NST-2603-00223,Reguler,WH-SUB03,11.27,4,4,COD
NST-2603-00224,Reguler,WH-SUB03,9.62,5,6,COD
NST-2603-00225,Reguler,WH-UPG05,7.51,5,7,Transfer Bank
NST-2603-00226,Reguler,WH-BDO02,4.76,5,8,Kartu Kredit
NST-2603-00227,Sameday,WH-SUB03,,1,1,COD
NST-2603-00228,Reguler,WH-BDO02,13.34,3,4,Transfer Bank
NST-2603-00229,Kargo,WH-SUB03,65.59,5,8,E-Wallet
NST-2603-00230,Express,WH-SUB03,0.63,2,3,COD
NST-2603-00231,Express,WH-SUB03,2.69,2,2,E-Wallet
NST-2603-00232,Reguler,WH-KNO04,5.76,4,5,COD
NST-2603-00233,Reguler,WH-BDO02,8.78,5,6,Kartu Kredit
NST-2603-00234,Reguler,WH-KNO04,2.2,5,5,E-Wallet
NST-2603-00235,Reguler,WH-BDO02,7.84,5,7,Kartu Kredit
NST-2603-00236,Express,WH-KNO04,2.64,1,3,Transfer Bank
NST-2603-00237,Reguler,WH-KNO04,7.27,5,7,E-Wallet
NST-2603-00238,Reguler,WH-KNO04,5.12,3,2,Transfer Bank
NST-2603-00239,Express,WH-UPG05,,2,4,COD
NST-2603-00240,Reguler,WH-KNO04,6.17,5,8,COD
NST-2603-00241,Kargo,WH-SUB03,47.5,7,11,COD
NST-2603-00242,Sameday,WH-JKT01,1.38,1,2,Transfer Bank
NST-2603-00243,Kargo,WH-KNO04,44.53,6,8,COD
NST-2603-00244,Reguler,WH-JKT01,11.1,3,2,Kartu Kredit
NST-2603-00245,Reguler,WH-JKT01,11.4,4,3,Transfer Bank
NST-2603-00246,Kargo,WH-SUB03,35.32,7,8,Transfer Bank
NST-2603-00247,Reguler,WH-JKT01,4.87,5,7,E-Wallet
NST-2603-00248,Sameday,WH-JKT01,2.95,1,2,COD
NST-2603-00249,Sameday,WH-JKT01,,1,1,E-Wallet
NST-2603-00250,Kargo,WH-BDO02,44.18,6,7,Transfer Bank
NST-2603-00251,Reguler,WH-KNO04,2.77,5,8,E-Wallet
NST-2603-00252,Reguler,WH-KNO04,8.75,3,2,Kartu Kredit
NST-2603-00253,Kargo,WH-JKT01,71.03,7,8,COD
NST-2603-00254,Reguler,WH-SUB03,13.22,4,3,Transfer Bank
NST-2603-00255,Reguler,WH-BDO02,7.57,5,6,E-Wallet
NST-2603-00256,Reguler,WH-SUB03,3.58,4,5,COD
NST-2603-00257,Kargo,WH-SUB03,95.29,5,7,Kartu Kredit
NST-2603-00258,Express,WH-JKT01,4.2,2,2,COD
NST-2603-00259,Reguler,WH-UPG05,2.04,4,6,E-Wallet
NST-2603-00260,Reguler,WH-JKT01,3.12,5,4,Kartu Kredit
NST-2603-00261,Express,WH-UPG05,4.97,2,2,Transfer Bank
NST-2603-00262,Sameday,WH-BDO02,1.9,1,1,Kartu Kredit
NST-2603-00263,Reguler,WH-UPG05,,4,7,COD
NST-2603-00264,Reguler,WH-JKT01,11.86,5,5,Transfer Bank
NST-2603-00265,Kargo,WH-JKT01,92.68,6,9,COD
NST-2603-00266,Express,WH-SUB03,4.96,2,4,Transfer Bank
NST-2603-00267,Express,WH-JKT01,3.29,2,4,Kartu Kredit
NST-2603-00268,Express,WH-JKT01,3.31,1,1,Transfer Bank
NST-2603-00269,Reguler,WH-KNO04,3.2,4,3,COD
NST-2603-00270,Reguler,WH-KNO04,2.05,3,6,E-Wallet
NST-2603-00271,Express,WH-SUB03,2.53,1,2,E-Wallet
NST-2603-00272,Express,WH-UPG05,0.65,2,3,E-Wallet
NST-2603-00273,Kargo,WH-UPG05,42.62,6,11,Transfer Bank
NST-2603-00274,Kargo,WH-KNO04,74.99,6,6,E-Wallet
NST-2603-00275,Reguler,WH-BDO02,10.26,4,7,E-Wallet
NST-2603-00276,Reguler,WH-KNO04,2.61,3,5,COD
NST-2603-00277,Express,WH-BDO02,1.17,1,3,Kartu Kredit
NST-2603-00278,Express,WH-UPG05,0.82,2,2,Transfer Bank
NST-2603-00279,Express,WH-KNO04,,1,2,E-Wallet
NST-2603-00280,Express,WH-JKT01,1.06,2,3,COD
NST-2603-00281,Kargo,WH-BDO02,75.98,7,9,Transfer Bank
NST-2603-00282,Reguler,WH-BDO02,8.56,4,7,COD
NST-2603-00283,Reguler,WH-BDO02,9.37,4,3,Kartu Kredit
NST-2603-00284,Reguler,WH-UPG05,9.45,4,5,E-Wallet
NST-2603-00285,Reguler,WH-SUB03,4.2,3,2,Transfer Bank
NST-2603-00286,Reguler,WH-JKT01,9.22,5,8,Transfer Bank
NST-2603-00287,Reguler,WH-KNO04,9.07,3,4,E-Wallet
NST-2603-00288,Reguler,WH-BDO02,8.27,3,5,COD
NST-2603-00289,Reguler,WH-UPG05,3.54,4,5,Kartu Kredit
NST-2603-00290,Reguler,WH-BDO02,9.89,5,7,Transfer Bank
NST-2603-00291,Reguler,WH-KNO04,,4,3,Transfer Bank
NST-2603-00292,Reguler,WH-JKT01,5.49,4,5,Kartu Kredit
NST-2603-00293,Express,WH-BDO02,1.98,1,1,Transfer Bank
NST-2603-00294,Reguler,WH-UPG05,5.04,5,7,Kartu Kredit
NST-2603-00295,Reguler,WH-UPG05,1.51,4,7,E-Wallet
NST-2603-00296,Reguler,WH-SUB03,4.53,3,4,Kartu Kredit
NST-2603-00297,Express,WH-UPG05,4.39,1,2,Kartu Kredit
NST-2603-00298,Reguler,WH-SUB03,7.47,3,6,COD
NST-2603-00299,Express,WH-JKT01,2.83,1,1,Kartu Kredit
NST-2603-00300,Reguler,WH-KNO04,9.76,5,7,E-Wallet
NST-2603-00301,Reguler,WH-SUB03,4.74,3,3,Transfer Bank
NST-2603-00302,Reguler,WH-BDO02,7.13,3,4,COD
NST-2603-00303,Reguler,WH-BDO02,2.7,5,7,Kartu Kredit
NST-2603-00304,Express,WH-KNO04,1.21,1,3,COD
NST-2603-00305,Express,WH-UPG05,2.34,1,3,E-Wallet
NST-2603-00306,Sameday,WH-BDO02,2.98,1,1,E-Wallet
NST-2603-00307,Reguler,WH-SUB03,14.26,3,5,Transfer Bank
NST-2603-00308,Reguler,WH-KNO04,7.98,5,5,E-Wallet
NST-2603-00309,Express,WH-BDO02,3.67,2,4,E-Wallet
NST-2603-00310,Reguler,WH-UPG05,14.72,4,6,Kartu Kredit
NST-2603-00311,Reguler,WH-UPG05,8.72,3,5,E-Wallet
NST-2603-00312,Reguler,WH-BDO02,13.91,4,4,E-Wallet
NST-2603-00313,Reguler,WH-KNO04,13.1,5,5,E-Wallet
NST-2603-00314,Sameday,WH-JKT01,2.43,1,2,Transfer Bank
NST-2603-00315,Express,WH-BDO02,4.7,2,3,Kartu Kredit
NST-2603-00316,Express,WH-UPG05,1.77,2,2,Kartu Kredit
NST-2603-00317,Reguler,WH-JKT01,9.12,4,7,COD
NST-2603-00318,Reguler,WH-KNO04,13.11,5,7,E-Wallet
NST-2603-00319,Reguler,WH-UPG05,7.78,4,7,COD
NST-2603-00320,Reguler,WH-KNO04,11.68,4,7,COD
NST-2603-00321,Reguler,WH-BDO02,14.06,4,6,E-Wallet
NST-2603-00322,Express,WH-KNO04,1.57,1,3,Kartu Kredit
NST-2603-00323,Express,WH-UPG05,4.35,2,2,E-Wallet
NST-2603-00324,Reguler,WH-BDO02,5.45,4,3,COD
NST-2603-00325,Sameday,WH-UPG05,,1,2,Transfer Bank
NST-2603-00326,Express,WH-UPG05,4.95,2,3,COD
NST-2603-00327,Reguler,WH-JKT01,7.93,5,5,Kartu Kredit
NST-2603-00328,Express,WH-SUB03,2.76,1,1,Transfer Bank
NST-2603-00329,Reguler,WH-KNO04,13.18,5,6,
NST-2603-00330,Reguler,WH-KNO04,8.36,4,3,E-Wallet
NST-2603-00331,Reguler,WH-JKT01,11.11,4,3,Kartu Kredit
NST-2603-00332,Express,WH-KNO04,4.86,2,4,Transfer Bank
NST-2603-00333,Reguler,WH-JKT01,11.94,3,5,Kartu Kredit
NST-2603-00334,Reguler,WH-KNO04,9.73,4,5,COD
NST-2603-00335,Reguler,WH-KNO04,12.92,4,3,Kartu Kredit
NST-2603-00336,Reguler,WH-UPG05,6.32,5,8,Transfer Bank
NST-2603-00337,Kargo,WH-JKT01,77.5,6,11,E-Wallet
NST-2603-00338,Express,WH-KNO04,0.66,2,4,Transfer Bank
NST-2603-00339,Reguler,WH-SUB03,9.84,3,3,Kartu Kredit
NST-2603-00340,Reguler,WH-JKT01,11.45,4,4,E-Wallet
NST-2603-00341,Reguler,WH-JKT01,11.65,4,3,E-Wallet
NST-2603-00342,Reguler,WH-JKT01,7.21,5,4,Kartu Kredit
NST-2603-00343,Reguler,WH-UPG05,13.65,5,6,Transfer Bank
NST-2603-00344,Reguler,WH-JKT01,12.15,3,4,E-Wallet
NST-2603-00345,Reguler,WH-UPG05,6.25,4,5,E-Wallet
NST-2603-00346,Express,WH-SUB03,2.89,1,1,Kartu Kredit
NST-2603-00347,Express,WH-BDO02,1.29,1,1,E-Wallet
NST-2603-00348,Reguler,WH-UPG05,9.68,5,7,Transfer Bank
NST-2603-00349,Reguler,WH-KNO04,13.78,3,5,E-Wallet
NST-2603-00350,Express,WH-JKT01,2.58,1,1,COD
NST-2603-00351,Reguler,WH-BDO02,4.57,4,6,E-Wallet
NST-2603-00352,Kargo,WH-UPG05,92.1,5,8,COD
NST-2603-00353,Express,WH-KNO04,2.49,1,1,Transfer Bank
NST-2603-00354,Reguler,WH-BDO02,5.19,4,7,COD
NST-2603-00355,Reguler,WH-SUB03,7.4,4,5,E-Wallet
NST-2603-00356,Express,WH-UPG05,5.0,2,2,E-Wallet
NST-2603-00357,Reguler,WH-UPG05,4.32,4,3,Kartu Kredit
NST-2603-00358,Reguler,WH-SUB03,9.05,5,6,Kartu Kredit
NST-2603-00359,Kargo,WH-UPG05,21.76,7,9,E-Wallet
NST-2603-00360,Reguler,WH-JKT01,4.84,5,7,E-Wallet
NST-2603-00361,Reguler,WH-UPG05,13.75,5,4,E-Wallet
NST-2603-00362,Express,WH-JKT01,3.99,2,3,E-Wallet
NST-2603-00363,Reguler,WH-UPG05,12.23,3,6,Transfer Bank
NST-2603-00364,Reguler,WH-KNO04,9.69,3,3,E-Wallet
NST-2603-00365,Kargo,WH-KNO04,81.4,7,12,COD
NST-2603-00366,Reguler,WH-BDO02,9.8,5,5,Kartu Kredit
NST-2603-00367,Sameday,WH-KNO04,1.27,1,1,COD
NST-2603-00368,Kargo,WH-SUB03,66.37,6,6,COD
NST-2603-00369,Reguler,WH-BDO02,2.26,5,5,Transfer Bank
NST-2603-00370,Reguler,WH-KNO04,11.46,4,5,COD
NST-2603-00371,Reguler,WH-JKT01,2.85,3,3,COD
NST-2603-00372,Reguler,WH-UPG05,8.43,5,6,COD
NST-2603-00373,Reguler,WH-KNO04,4.6,4,4,Kartu Kredit
NST-2603-00374,Express,WH-JKT01,3.86,2,3,Transfer Bank
NST-2603-00375,Reguler,WH-BDO02,7.56,4,3,COD
NST-2603-00376,Reguler,WH-UPG05,11.56,3,3,COD
NST-2603-00377,Express,WH-KNO04,3.76,1,3,Transfer Bank
NST-2603-00378,Reguler,WH-BDO02,6.12,4,7,E-Wallet
NST-2603-00379,Express,WH-KNO04,1.69,2,2,COD
NST-2603-00380,Reguler,WH-BDO02,6.16,3,5,Kartu Kredit
NST-2603-00381,Reguler,WH-KNO04,9.18,5,6,Kartu Kredit
NST-2603-00382,Express,WH-JKT01,3.54,2,2,E-Wallet
NST-2603-00383,Express,WH-SUB03,3.29,2,2,COD
NST-2603-00384,Kargo,WH-JKT01,93.22,7,9,Transfer Bank
